MatchId,Champion,Role,Win,Minutes,Kills,Deaths,Assists,DamageDealt,DamageTaken,Gold,CS,VisionScore,TurretKills,InhibitorKills,WardsPlaced,WardsKilled,FirstTower,FirstBlood
NA1_5352093007,Yone,TOP,1,46.53333333333333,12,10,20,96560,71627,22826,286,27,3,1,16,0,0,1
NA1_5351612642,Yone,TOP,0,1.7666666666666666,0,0,0,64,70,513,0,0,0,0,1,0,0,0
NA1_5350767472,Yone,TOP,0,42.38333333333333,2,12,12,36226,51783,16626,295,29,0,0,15,2,0,0
NA1_5350598281,Yone,TOP,1,32.13333333333333,14,9,4,43896,37855,14459,180,15,0,0,7,1,0,0
NA1_5350026806,Yone,TOP,1,36.31666666666667,7,7,4,25507,36981,15690,245,21,3,1,12,0,0,1
NA1_5350006872,Yone,TOP,1,27.7,10,9,2,31197,27570,12451,166,11,2,0,6,0,0,0
NA1_5341647683,Yone,TOP,0,25.1,1,10,0,15274,25535,7438,160,13,0,0,7,1,0,0
NA1_5341640474,Yone,TOP,0,24.45,1,6,2,11959,20449,7618,163,6,0,0,4,0,0,0
NA1_5341173763,Yone,TOP,1,28.133333333333333,8,6,7,22961,27630,13825,197,11,3,1,7,0,0,0
NA1_5340510804,Yone,TOP,0,28.6,2,7,2,12227,22612,11674,243,16,2,0,9,1,0,0
NA1_5338598685,Yone,TOP,0,32.266666666666666,1,10,1,19420,27381,9773,196,16,0,0,10,0,0,0
NA1_5337167849,Yone,TOP,1,23.15,6,4,7,34453,18449,9985,172,12,2,0,7,0,0,0
NA1_5334922628,Yone,TOP,1,28.5,15,7,2,39897,34853,16176,198,12,3,1,8,0,0,0
NA1_5332163664,Yone,TOP,1,29.983333333333334,12,6,5,41676,32753,15134,182,15,4,0,9,0,0,0
NA1_5328880540,Yone,TOP,0,31.0,0,16,1,10685,34152,9517,205,20,1,0,8,4,0,0
NA1_5328262533,Yone,TOP,0,19.65,3,9,0,6507,21951,7588,125,5,0,0,3,0,0,1
NA1_5327155133,Yone,TOP,1,39.18333333333333,14,6,5,56511,46201,20124,262,21,5,1,12,1,1,0
NA1_5326480732,Yone,TOP,1,28.833333333333332,5,8,2,20233,25477,10763,202,17,1,0,9,1,0,0
NA1_5325925242,Yone,TOP,0,26.05,2,9,2,11244,21382,9272,170,10,1,0,8,0,0,0
NA1_5325912820,Yone,TOP,0,32.71666666666667,1,14,5,18424,36856,10693,221,9,0,0,6,0,0,0
NA1_5317759516,Yone,TOP,0,16.683333333333334,1,4,0,5376,12885,4971,104,8,0,0,4,1,0,0
NA1_5316530876,Yone,TOP,1,36.38333333333333,12,10,9,35575,44477,15773,238,20,3,1,11,1,0,1
NA1_5315099210,Yone,TOP,0,30.35,0,11,2,9194,31555,8945,149,13,1,0,6,2,0,0
NA1_5315089134,Yone,TOP,0,34.083333333333336,6,12,3,28136,45827,12070,193,15,0,0,9,0,0,0
NA1_5312734465,Yone,TOP,0,38.333333333333336,15,13,6,61210,49442,19676,242,24,3,0,11,1,0,0
NA1_5312458855,Yone,TOP,1,44.55,9,14,6,62687,58468,18742,288,29,4,1,16,1,0,0
NA1_5310036571,Yone,TOP,0,25.933333333333334,2,10,6,38720,31479,10196,178,14,2,0,8,1,0,0
NA1_5308694841,Yone,TOP,1,31.233333333333334,5,10,5,20676,33115,11899,172,16,3,1,11,0,0,0
NA1_5308635642,Yone,TOP,0,29.566666666666666,9,5,2,61941,34474,13617,208,19,3,0,9,2,1,0
NA1_5308538178,Yone,TOP,1,32.11666666666667,18,5,2,52989,37283,18960,228,18,6,1,10,1,1,0
NA1_5308523390,Yone,TOP,0,18.916666666666668,5,6,0,12593,16536,7229,118,8,1,0,6,0,0,0
NA1_5308502433,Yone,TOP,0,32.25,6,10,5,30339,33950,12690,175,15,2,0,9,1,0,0
NA1_5308443450,Yone,TOP,1,15.45,5,0,1,13211,9511,7013,133,6,1,0,5,0,1,0
NA1_5307834744,Yone,TOP,0,24.1,4,9,0,18905,24955,8949,176,7,1,0,6,0,0,0
NA1_5307827036,Yone,TOP,0,8.933333333333334,1,3,0,2541,4685,2534,44,3,0,0,2,0,0,0
NA1_5307127406,Yone,TOP,0,32.666666666666664,2,9,4,28461,36995,11090,219,12,0,0,9,0,0,0
NA1_5306496216,Yone,TOP,1,43.63333333333333,9,15,8,64120,58425,19355,290,31,5,1,15,1,0,0
NA1_5306472052,Yone,TOP,0,30.683333333333334,3,10,6,16095,29484,11016,171,13,2,0,7,3,0,0
NA1_5306031833,Yone,TOP,1,33.95,12,6,11,46071,38902,16592,209,13,3,1,7,1,0,0
NA1_5305970290,Yone,TOP,1,54.75,18,17,7,136518,79678,25129,259,33,1,2,12,6,0,1
NA1_5305950735,Yone,TOP,1,35.03333333333333,7,7,5,41961,42551,15233,271,16,3,0,9,0,1,0
NA1_5305937480,Yone,TOP,0,16.0,0,6,2,4429,10302,4169,81,8,0,0,5,0,0,0
NA1_5305873214,Yone,TOP,1,23.65,7,4,4,22951,24537,10564,177,13,1,0,7,1,0,0
NA1_5305797913,Yone,TOP,1,29.65,5,9,4,14876,25291,11234,146,17,3,1,10,0,0,0
NA1_5305779830,Yone,TOP,1,30.016666666666666,6,10,3,30088,33250,13207,200,13,3,0,8,1,1,0
NA1_5305519746,Yone,TOP,1,30.716666666666665,11,6,6,58677,41171,15026,186,17,3,0,10,1,0,0
NA1_5305511580,Yone,TOP,1,1.8333333333333333,0,0,0,342,402,522,0,0,0,0,0,0,0,0
NA1_5305448203,Yone,TOP,0,29.983333333333334,3,6,10,27671,33886,11808,210,15,1,0,8,0,0,0
NA1_5305416757,Yone,TOP,1,36.13333333333333,3,11,7,19644,33153,13216,219,27,1,0,12,2,0,0
NA1_5305168330,Yone,TOP,1,26.65,12,1,6,32103,24136,15015,236,14,2,1,9,1,1,1
NA1_5305157458,Yone,MIDDLE,1,20.95,3,5,0,13777,17963,8045,162,11,1,0,6,1,0,0
NA1_5304730372,Yone,TOP,1,30.483333333333334,6,6,9,47512,34023,14278,220,18,6,1,10,1,1,0
NA1_5304603054,Yone,TOP,1,31.05,10,7,8,50347,35010,15181,244,18,2,0,8,1,1,0
NA1_5304018024,Yone,TOP,1,17.683333333333334,9,3,0,18256,13136,8811,135,7,1,0,4,0,0,1
NA1_5303992591,Yone,TOP,1,35.083333333333336,8,12,8,34112,41801,16436,220,15,3,1,4,4,0,0
NA1_5303973697,Yone,TOP,1,29.366666666666667,13,3,1,38456,35166,16243,241,18,2,0,11,0,1,0
NA1_5302838409,Yone,TOP,1,36.083333333333336,10,15,9,35579,48674,15071,219,22,0,0,11,2,0,0
NA1_5302822181,Yone,TOP,1,24.733333333333334,9,2,6,33045,24088,12605,180,9,3,0,6,1,1,0
NA1_5300992535,Yone,TOP,1,27.566666666666666,14,0,1,31235,27557,17434,257,11,7,0,8,0,1,1
NA1_5300555672,Yone,TOP,0,40.45,8,9,3,60201,47097,17559,273,30,2,1,13,2,0,0
NA1_5300531288,Yone,TOP,0,27.433333333333334,11,11,2,43326,33944,12507,165,13,2,0,7,2,0,0
NA1_5300505165,Yone,TOP,1,29.416666666666668,12,1,6,40472,29396,16190,238,18,3,1,10,1,0,0
NA1_5300458742,Yone,TOP,0,32.56666666666667,3,8,2,27982,35458,14440,247,18,3,0,10,1,0,0
NA1_5300302019,Yone,TOP,1,34.4,12,5,6,55260,41122,20220,281,20,6,1,11,1,1,0
